release_date,version,major,minor,file_name,download_url
2025-07-01,25.1,2025,1,nucc_taxonomy_251.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_251.csv
2025-01-01,25,2025,0,nucc_taxonomy_250.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_250.csv
2024-07-01,24.1,2024,1,nucc_taxonomy_241.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_241.csv
2024-01-01,24,2024,0,nucc_taxonomy_240.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_240.csv
2023-07-01,23.1,2023,1,nucc_taxonomy_231.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_231.csv
2023-01-01,23,2023,0,nucc_taxonomy_230.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_230.csv
2022-07-01,22.1,2022,1,nucc_taxonomy_221.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_221.csv
2022-01-01,22,2022,0,nucc_taxonomy_220.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_220.csv
2021-07-01,21.1,2021,1,nucc_taxonomy_211.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_211.csv
2021-01-01,21,2021,0,nucc_taxonomy_210.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_210.csv
2020-07-01,20.1,2020,1,nucc_taxonomy_201.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_201.csv
2020-01-01,20,2020,0,nucc_taxonomy_200.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_200.csv
2019-07-01,19.1,2019,1,nucc_taxonomy_191.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_191.csv
2019-01-01,19,2019,0,nucc_taxonomy_190.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_190.csv
2018-07-01,18.1,2018,1,nucc_taxonomy_181.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_181.csv
2018-01-01,18,2018,0,nucc_taxonomy_180.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_180.csv
2017-07-01,17.1,2017,1,nucc_taxonomy_171.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_171.csv
2017-01-01,17,2017,0,nucc_taxonomy_170.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_170.csv
2016-07-01,16.1,2016,1,nucc_taxonomy_161.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_161.csv
2016-01-01,16,2016,0,nucc_taxonomy_160.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_160.csv
2015-07-01,15.1,2015,1,nucc_taxonomy_151.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_151.csv
2015-01-01,15,2015,0,nucc_taxonomy_150.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_150.csv
2014-07-01,14.1,2014,1,nucc_taxonomy_141.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_141.csv
2014-01-01,14,2014,0,nucc_taxonomy_140.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_140.csv
2013-07-01,13.1,2013,1,nucc_taxonomy_131.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_131.csv
2013-01-01,13,2013,0,nucc_taxonomy_130.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_130.csv
2012-07-01,12.1,2012,1,nucc_taxonomy_121.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_121.csv
2012-01-01,12,2012,0,nucc_taxonomy_120.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_120.csv
2011-07-01,11.1,2011,1,nucc_taxonomy_111.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_111.csv
2011-01-01,11,2011,0,nucc_taxonomy_110.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_110.csv
2010-07-01,10.1,2010,1,nucc_taxonomy_101.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_101.csv
2010-01-01,10,2010,0,nucc_taxonomy_100.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_100.csv
2009-07-01,9.1,2009,1,nucc_taxonomy_91.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_91.csv
2009-01-01,9,2009,0,nucc_taxonomy_90.csv,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_90.csv
